Team,League,Year,RA,W,OBP,SLG,BA,Playoffs,RankSeason,RankPlayoffs,G,OOBP,OSLG,RS
CLE,AL,2004,857,80,0.35100000000000003,0.444,0.276,0,,,162,0.342,0.445,858
COL,NL,2004,923,68,0.345,0.455,0.275,0,,,162,0.37200000000000005,0.47100000000000003,833
DET,AL,2004,844,72,0.337,0.449,0.272,0,,,162,0.34,0.441,827
FLA,NL,2004,700,83,0.32899999999999996,0.406,0.264,0,,,162,0.324,0.41200000000000003,718
HOU,NL,2004,698,92,0.342,0.436,0.267,1,6,3,162,0.32799999999999996,0.41700000000000004,803
KCR,AL,2004,905,58,0.322,0.397,0.259,0,,,162,0.35200000000000004,0.47600000000000003,720
LAD,NL,2004,684,93,0.332,0.423,0.262,1,5,4,162,0.32299999999999995,0.408,761
MIL,NL,2004,757,67,0.321,0.387,0.248,0,,,161,0.32,0.41700000000000004,634
MIN,AL,2004,715,92,0.332,0.431,0.266,1,6,4,162,0.32299999999999995,0.406,780
MON,NL,2004,769,67,0.313,0.392,0.249,0,,,162,0.342,0.431,635
NYM,NL,2004,731,71,0.317,0.409,0.249,0,,,162,0.335,0.405,684
NYY,AL,2004,808,101,0.353,0.45799999999999996,0.268,1,2,3,162,0.32799999999999996,0.43200000000000005,897
OAK,AL,2004,742,91,0.34299999999999997,0.433,0.27,0,,,162,0.332,0.409,793
PHI,NL,2004,781,86,0.345,0.44299999999999995,0.267,0,,,162,0.33,0.44799999999999995,840
PIT,NL,2004,744,72,0.321,0.401,0.26,0,,,161,0.342,0.41600000000000004,680
SDP,NL,2004,705,87,0.342,0.414,0.273,0,,,162,0.318,0.431,768
SEA,AL,2004,823,63,0.331,0.396,0.27,0,,,162,0.33799999999999997,0.441,698
SFG,NL,2004,770,91,0.35700000000000004,0.43799999999999994,0.27,0,,,162,0.332,0.423,850
STL,NL,2004,659,105,0.344,0.46,0.278,1,1,2,162,0.313,0.40299999999999997,855
TBD,AL,2004,842,70,0.32,0.405,0.258,0,,,161,0.342,0.43799999999999994,714
TEX,AL,2004,794,89,0.32899999999999996,0.457,0.266,0,,,162,0.344,0.43200000000000005,860
TOR,AL,2004,823,67,0.32799999999999996,0.40299999999999997,0.26,0,,,161,0.348,0.434,719
ANA,AL,2003,743,77,0.33,0.413,0.268,0,,,162,0.327,0.42100000000000004,736
ARI,NL,2003,685,84,0.33,0.41700000000000004,0.263,0,,,162,0.322,0.38799999999999996,717
ATL,NL,2003,740,101,0.349,0.475,0.284,1,1,4,162,0.327,0.401,907
BAL,AL,2003,820,71,0.32299999999999995,0.405,0.268,0,,,163,0.34600000000000003,0.446,743
BOS,AL,2003,809,95,0.36,0.491,0.289,1,4,3,162,0.327,0.415,961
CHC,NL,2003,683,88,0.32299999999999995,0.41600000000000004,0.259,1,7,3,162,0.324,0.37200000000000005,724
CHW,AL,2003,715,86,0.331,0.446,0.263,0,,,162,0.322,0.40399999999999997,791
CIN,NL,2003,886,69,0.318,0.395,0.245,0,,,162,0.349,0.46299999999999997,694
CLE,AL,2003,778,68,0.316,0.401,0.254,0,,,162,0.32899999999999996,0.426,699
COL,NL,2003,892,74,0.344,0.445,0.267,0,,,162,0.359,0.47,853
DET,AL,2003,928,43,0.3,0.375,0.24,0,,,162,0.35200000000000004,0.461,591
FLA,NL,2003,692,91,0.33299999999999996,0.42100000000000004,0.266,1,5,1,162,0.325,0.396,751
HOU,NL,2003,677,87,0.336,0.431,0.263,0,,,162,0.326,0.397,805
KCR,AL,2003,867,83,0.336,0.42700000000000005,0.27399999999999997,0,,,162,0.348,0.45,836
