education,experience,ethnicity,smsa,region,parttime,wage
12,41.0,cauc,no,northeast,no,807.22
12,39.0,cauc,no,northeast,no,1044.63
14,28.0,cauc,yes,northeast,no,346.63
12,49.0,cauc,yes,northeast,yes,201.43
12,10.0,cauc,no,northeast,no,498.58
12,22.0,cauc,no,northeast,no,261.16
18,14.0,cauc,no,northeast,no,587.89
12,29.0,cauc,no,northeast,no,569.8
15,22.0,cauc,no,northeast,no,612.73
12,27.0,cauc,no,northeast,no,227.92
12,1.0,cauc,no,northeast,no,71.23
18,14.0,cauc,yes,northeast,no,1685.66
17,17.0,cauc,yes,northeast,no,949.67
11,22.0,cauc,yes,northeast,no,166.19
14,18.0,cauc,yes,northeast,no,593.54
16,20.0,cauc,yes,northeast,no,783.48
12,16.0,cauc,yes,northeast,no,902.18
12,14.0,cauc,yes,northeast,no,427.35
12,25.0,cauc,yes,northeast,no,783.48
13,-1.0,cauc,yes,northeast,no,308.64
12,17.0,cauc,no,northeast,no,688.51
12,28.0,cauc,no,northeast,no,302.47
12,20.0,cauc,no,northeast,no,617.28
14,20.0,cauc,no,northeast,no,641.03
16,17.0,cauc,no,northeast,no,202.47
12,9.0,cauc,no,northeast,no,546.06
12,18.0,cauc,no,northeast,no,782.9
14,20.0,cauc,no,northeast,no,854.7
16,17.0,cauc,no,northeast,no,759.73
14,-1.0,cauc,no,northeast,no,661.38
15,3.0,cauc,no,northeast,no,332.38
5,37.0,cauc,no,northeast,no,735.49
12,0.0,cauc,no,northeast,yes,316.56
10,7.0,cauc,no,northeast,no,664.77
12,36.0,cauc,no,northeast,no,688.51
12,38.0,cauc,no,northeast,no,637.71
14,18.0,cauc,no,northeast,no,410.73
14,25.0,cauc,no,northeast,no,249.29
12,26.0,cauc,no,northeast,no,209.88
13,24.0,cauc,no,northeast,no,504.27
9,29.0,cauc,no,northeast,no,269.44
12,0.0,cauc,no,northeast,yes,119.35
8,43.0,cauc,no,northeast,no,759.73
12,24.0,cauc,no,northeast,no,338.32
12,37.0,cauc,no,northeast,no,807.22
12,20.0,cauc,no,northeast,no,332.38
16,11.0,cauc,yes,northeast,no,712.25
18,15.0,cauc,no,northeast,no,846.98
13,28.0,cauc,no,northeast,no,707.5
16,36.0,cauc,no,northeast,no,653.59
15,0.0,cauc,no,northeast,yes,324.07
12,14.0,cauc,no,northeast,no,391.74
14,2.0,cauc,no,northeast,no,395.06
12,0.0,cauc,no,northeast,no,378.09
12,12.0,cauc,no,northeast,no,379.87
12,20.0,cauc,no,northeast,no,256.41
12,27.0,cauc,no,northeast,no,318.0
12,17.0,cauc,no,northeast,no,522.32
12,6.0,cauc,no,northeast,no,284.9
16,3.0,cauc,no,northeast,no,254.63
16,6.0,cauc,no,northeast,no,458.21
12,11.0,cauc,no,northeast,no,142.45
12,9.0,cauc,no,northeast,yes,145.4
15,20.0,cauc,no,northeast,no,664.77
16,17.0,cauc,yes,northeast,no,997.15
16,1.0,cauc,yes,northeast,no,474.83
12,19.0,cauc,yes,northeast,no,432.1
16,9.0,cauc,yes,northeast,no,593.54
8,47.0,cauc,no,northeast,no,402.68
12,14.0,cauc,no,northeast,no,474.36
12,8.0,cauc,no,northeast,no,356.13
8,9.0,cauc,yes,northeast,no,186.45
17,24.0,cauc,no,northeast,no,581.67
14,14.0,cauc,no,northeast,no,338.9
15,23.0,cauc,no,northeast,no,541.31
12,19.0,cauc,no,northeast,no,546.06
12,16.0,cauc,no,northeast,no,189.93
16,14.0,cauc,no,northeast,no,712.25
14,17.0,cauc,no,northeast,yes,518.52
12,3.0,cauc,no,northeast,no,451.09
16,18.0,cauc,no,northeast,no,379.87
12,8.0,cauc,no,northeast,no,284.9
18,11.0,cauc,no,northeast,no,626.78
18,23.0,cauc,no,northeast,no,1590.69
9,40.0,cauc,no,northeast,no,374.53
12,19.0,cauc,no,northeast,no,807.22
13,18.0,cauc,no,northeast,no,158.25
12,8.0,cauc,no,northeast,no,997.15
12,11.0,cauc,no,northeast,no,925.93
12,10.0,cauc,no,northeast,no,830.96
12,11.0,cauc,yes,northeast,no,439.22
12,7.0,cauc,yes,northeast,no,498.58
11,45.0,cauc,no,northeast,no,493.83
15,18.0,cauc,no,northeast,no,332.38
18,16.0,cauc,no,northeast,no,166.19
12,6.0,cauc,yes,northeast,no,261.16
8,55.0,cauc,no,northeast,no,207.82
12,38.0,cauc,no,northeast,no,334.36
15,19.0,cauc,no,northeast,no,498.53
8,35.0,cauc,yes,northeast,no,322.06
14,5.0,cauc,yes,northeast,no,807.22
12,14.0,cauc,yes,northeast,no,474.83
16,11.0,cauc,yes,northeast,no,629.39
9,20.0,cauc,yes,northeast,no,377.49
16,19.0,cauc,yes,northeast,no,587.89
16,19.0,cauc,yes,northeast,no,997.15
14,5.0,cauc,yes,northeast,no,474.83
13,12.0,cauc,yes,northeast,no,403.61
13,5.0,cauc,no,northeast,no,569.8
14,24.0,cauc,no,northeast,no,878.44
12,48.0,cauc,no,northeast,no,593.54
12,21.0,cauc,yes,northeast,no,484.14
10,35.0,cauc,yes,northeast,no,617.28
16,19.0,cauc,yes,northeast,no,1187.08
12,35.0,cauc,yes,northeast,no,878.44
12,7.0,cauc,yes,northeast,no,593.54
13,32.0,cauc,no,northeast,no,712.25
8,44.0,cauc,no,northeast,no,617.28
16,8.0,cauc,no,northeast,no,320.51
10,10.0,cauc,no,northeast,no,427.35
16,12.0,cauc,no,northeast,no,546.06
10,43.0,cauc,no,northeast,no,422.08
8,44.0,cauc,yes,northeast,no,475.64
16,8.0,cauc,no,northeast,no,213.68
16,4.0,cauc,no,northeast,no,246.91
12,5.0,cauc,no,northeast,no,185.19
16,19.0,cauc,no,northeast,no,409.54
13,0.0,cauc,no,northeast,yes,105.51
18,33.0,cauc,no,northeast,no,303.03
12,16.0,cauc,no,northeast,no,493.83
12,45.0,cauc,yes,northeast,yes,208.33
10,12.0,cauc,no,northeast,no,593.54
10,50.0,cauc,no,northeast,yes,395.06
16,1.0,cauc,yes,northeast,yes,174.79
16,1.0,cauc,yes,northeast,no,118.71
16,1.0,cauc,yes,northeast,yes,196.41
18,20.0,cauc,yes,northeast,no,682.57
18,17.0,cauc,yes,northeast,no,1115.86
13,26.0,cauc,yes,northeast,no,648.46
12,4.0,cauc,yes,northeast,no,354.94
10,8.0,cauc,no,northeast,no,370.37
12,9.0,cauc,no,northeast,no,569.8
16,24.0,cauc,yes,northeast,no,673.4
14,19.0,cauc,yes,northeast,no,807.22
14,28.0,cauc,no,northeast,no,997.15
12,16.0,cauc,no,northeast,no,691.38
8,49.0,cauc,no,northeast,yes,124.31
12,7.0,cauc,no,northeast,no,498.58
16,38.0,cauc,no,northeast,yes,221.72
12,34.0,cauc,yes,northeast,no,522.32
12,8.0,cauc,yes,northeast,no,420.23
12,5.0,cauc,yes,northeast,no,415.48
12,9.0,cauc,yes,northeast,no,305.27
13,33.0,cauc,yes,northeast,no,308.95
12,1.0,cauc,yes,northeast,no,1471.89
12,21.0,cauc,no,northeast,no,720.16
12,9.0,cauc,no,northeast,no,439.22
12,10.0,cauc,no,northeast,no,735.99
12,29.0,cauc,no,northeast,no,805.15
18,38.0,cauc,no,northeast,no,1608.88
12,12.0,cauc,no,northeast,no,830.96
12,4.0,cauc,no,northeast,no,448.72
12,22.0,cauc,yes,northeast,no,712.25
12,38.0,cauc,yes,northeast,no,949.67
12,19.0,cauc,yes,northeast,no,439.22
12,17.0,cauc,yes,northeast,no,771.6
12,18.0,cauc,yes,northeast,no,478.4
12,24.0,cauc,yes,northeast,no,1185.19
12,17.0,cauc,yes,northeast,yes,231.48
12,48.0,cauc,yes,northeast,yes,185.19
17,4.0,cauc,yes,northeast,no,1068.38
13,8.0,cauc,yes,northeast,no,474.83
11,48.0,cauc,yes,northeast,no,434.22
12,5.0,cauc,yes,northeast,no,363.25
12,36.0,cauc,yes,northeast,no,498.58
12,13.0,cauc,yes,northeast,no,1305.79
12,10.0,cauc,yes,northeast,no,451.09
16,10.0,cauc,yes,northeast,no,593.54
9,33.0,cauc,yes,northeast,no,555.56
14,15.0,cauc,yes,northeast,no,629.88
12,38.0,cauc,no,northeast,no,479.77
17,25.0,cauc,no,northeast,no,854.7
14,15.0,cauc,no,northeast,no,546.06
13,9.0,cauc,no,northeast,no,338.32
12,15.0,cauc,no,northeast,yes,94.97
16,9.0,cauc,no,northeast,no,925.93
12,10.0,cauc,no,northeast,no,356.13
12,18.0,cauc,yes,northeast,no,1208.85
14,29.0,cauc,yes,northeast,no,1139.6
10,7.0,cauc,yes,northeast,no,498.58
14,3.0,cauc,no,northeast,no,546.06
12,28.0,cauc,yes,northeast,no,1543.21
16,2.0,cauc,yes,northeast,no,617.28
16,12.0,cauc,yes,northeast,no,807.22
16,4.0,cauc,yes,northeast,no,891.07
16,4.0,cauc,yes,northeast,no,538.94
16,13.0,cauc,no,northeast,yes,332.38
12,11.0,cauc,yes,northeast,no,944.92
7,33.0,cauc,yes,northeast,no,1187.08
8,24.0,cauc,yes,northeast,no,854.7
11,24.0,cauc,yes,northeast,no,493.83
14,16.0,cauc,yes,northeast,no,783.48
16,7.0,cauc,yes,northeast,no,624.41
16,17.0,cauc,yes,northeast,no,1092.12
16,10.0,cauc,yes,northeast,no,688.51
14,6.0,cauc,yes,northeast,no,498.58
16,10.0,cauc,yes,northeast,no,676.64
13,2.0,cauc,yes,northeast,no,432.1
17,20.0,cauc,yes,northeast,no,1507.6
12,1.0,cauc,yes,northeast,no,233.99
18,9.0,cauc,yes,northeast,no,1115.86
16,41.0,cauc,no,northeast,yes,122.46
12,7.0,cauc,yes,northeast,no,423.63
18,8.0,cauc,yes,northeast,no,949.67
13,4.0,cauc,yes,northeast,no,586.42
12,28.0,cauc,yes,northeast,no,296.77
12,19.0,cauc,yes,northeast,no,1305.79
12,11.0,cauc,yes,northeast,no,642.21
17,7.0,cauc,yes,northeast,no,1371.74
17,9.0,cauc,yes,northeast,no,830.96
2,14.0,cauc,yes,northeast,no,498.58
12,20.0,cauc,yes,northeast,no,997.15
12,17.0,cauc,yes,northeast,no,213.68
16,6.0,cauc,yes,northeast,no,1305.79
14,7.0,cauc,yes,northeast,no,498.58
17,8.0,cauc,yes,northeast,no,569.8
16,12.0,cauc,yes,northeast,no,474.83
16,11.0,cauc,yes,northeast,no,712.25
17,9.0,cauc,yes,northeast,no,949.67
12,27.0,cauc,yes,northeast,no,415.48
17,8.0,cauc,yes,northeast,no,664.77
14,24.0,cauc,yes,northeast,no,1167.62
12,0.0,cauc,yes,northeast,no,316.87
12,7.0,cauc,no,northeast,no,451.09
10,40.0,cauc,no,northeast,no,356.13
12,31.0,cauc,no,northeast,no,569.8
12,2.0,cauc,no,northeast,no,308.64
16,34.0,cauc,no,northeast,no,733.62
12,22.0,cauc,no,northeast,no,830.96
6,42.0,cauc,no,northeast,no,902.18
12,15.0,cauc,no,northeast,yes,757.58
12,12.0,cauc,no,northeast,no,593.54
11,1.0,cauc,no,northeast,no,222.22
12,3.0,cauc,no,northeast,no,286.76
11,15.0,cauc,no,northeast,no,434.33
8,23.0,cauc,no,northeast,no,322.72
12,5.0,cauc,no,northeast,no,332.38
12,4.0,cauc,no,northeast,no,296.77
12,4.0,cauc,no,northeast,no,218.42
12,29.0,cauc,no,northeast,yes,237.42
14,13.0,cauc,no,northeast,no,636.28
9,37.0,cauc,no,northeast,no,546.06
13,-1.0,cauc,no,northeast,yes,63.72
14,7.0,cauc,no,northeast,no,700.38
12,15.0,cauc,yes,northeast,no,546.06
14,4.0,cauc,yes,northeast,no,451.09
12,12.0,cauc,no,northeast,no,451.09
16,22.0,cauc,yes,northeast,no,1241.69
15,1.0,cauc,yes,northeast,no,321.5
12,4.0,cauc,yes,northeast,no,807.22
16,13.0,cauc,yes,northeast,no,692.81
18,9.0,cauc,yes,northeast,no,474.83
10,40.0,cauc,yes,northeast,no,379.87
12,39.0,cauc,yes,northeast,no,617.28
12,41.0,cauc,yes,northeast,no,498.58
8,44.0,cauc,yes,northeast,no,712.25
8,40.0,cauc,yes,northeast,no,569.8
16,8.0,cauc,yes,northeast,no,821.46
12,3.0,cauc,yes,northeast,no,522.32
12,8.0,cauc,yes,northeast,no,522.32
12,5.0,cauc,yes,northeast,no,522.32
14,14.0,cauc,yes,northeast,no,508.07
12,49.0,cauc,yes,northeast,no,830.96
13,6.0,cauc,yes,northeast,no,712.25
12,11.0,cauc,yes,northeast,no,1185.19
12,11.0,cauc,yes,northeast,no,641.03
18,5.0,cauc,no,northeast,no,807.41
18,23.0,cauc,yes,northeast,no,973.41
16,12.0,cauc,no,northeast,no,756.58
14,24.0,cauc,no,northeast,no,641.03
13,35.0,cauc,no,northeast,no,821.39
12,2.0,cauc,no,northeast,no,351.08
8,9.0,cauc,yes,northeast,no,356.13
18,2.0,cauc,yes,northeast,no,712.25
16,14.0,cauc,yes,northeast,no,796.51
16,3.0,cauc,yes,northeast,no,728.4
15,4.0,cauc,yes,northeast,no,569.8
14,13.0,cauc,yes,northeast,no,820.62
13,8.0,cauc,yes,northeast,no,854.7
14,10.0,cauc,yes,northeast,no,902.18
16,18.0,cauc,yes,northeast,no,1020.89
16,36.0,cauc,yes,northeast,no,688.51
12,10.0,cauc,no,northeast,no,593.54
11,20.0,cauc,no,northeast,no,472.44
12,25.0,cauc,no,northeast,no,457.67
12,15.0,cauc,no,northeast,no,878.44
11,14.0,cauc,no,northeast,no,452.49
13,27.0,cauc,no,northeast,no,546.06
10,27.0,cauc,no,northeast,no,310.28
12,7.0,cauc,yes,northeast,no,569.8
16,3.0,cauc,yes,northeast,no,807.22
16,10.0,cauc,yes,northeast,no,830.96
14,29.0,cauc,yes,northeast,no,807.22
12,25.0,cauc,yes,northeast,no,92.59
14,9.0,cauc,yes,northeast,no,546.06
12,7.0,cauc,yes,northeast,no,830.96
14,29.0,cauc,yes,northeast,no,759.73
14,-1.0,cauc,yes,northeast,no,617.28
16,37.0,cauc,yes,northeast,no,1471.98
14,27.0,cauc,yes,northeast,no,1163.34
17,13.0,cauc,yes,northeast,no,241.55
12,17.0,cauc,no,northeast,no,759.73
12,34.0,cauc,no,northeast,no,1128.75
16,7.0,cauc,no,northeast,no,757.58
12,2.0,cauc,no,northeast,no,180.04
7,41.0,cauc,no,northeast,no,607.05
14,16.0,cauc,no,northeast,no,427.35
14,-1.0,cauc,no,northeast,no,308.64
14,18.0,cauc,yes,northeast,no,2029.91
14,19.0,cauc,no,northeast,no,900.21
12,20.0,cauc,no,northeast,no,735.99
16,2.0,cauc,no,northeast,no,546.06
11,27.0,cauc,no,northeast,no,403.61
12,11.0,cauc,no,northeast,no,688.51
18,15.0,cauc,no,northeast,no,237.42
12,5.0,cauc,no,northeast,no,712.25
11,2.0,cauc,no,northeast,no,385.8
12,16.0,cauc,yes,northeast,no,1210.83
18,20.0,cauc,yes,northeast,no,1495.73
8,14.0,cauc,yes,northeast,no,94.97
18,40.0,cauc,yes,northeast,yes,107.74
12,12.0,cauc,no,northeast,no,467.71
16,33.0,cauc,no,northeast,no,1187.08
14,17.0,cauc,no,northeast,no,422.6
14,16.0,cauc,no,northeast,no,997.15
16,38.0,cauc,yes,northeast,no,949.67
15,4.0,cauc,yes,northeast,no,1234.57
12,6.0,cauc,yes,northeast,no,712.25
12,23.0,cauc,yes,northeast,no,937.1
16,3.0,cauc,yes,northeast,no,534.19
14,13.0,cauc,yes,northeast,no,641.03
14,11.0,cauc,yes,northeast,no,593.54
12,32.0,cauc,no,northeast,no,890.41
12,42.0,cauc,no,northeast,no,536.89
8,32.0,cauc,yes,northeast,no,593.54
12,25.0,cauc,yes,northeast,no,370.37
14,1.0,cauc,yes,northeast,no,344.25
12,4.0,cauc,yes,northeast,no,237.42
14,16.0,cauc,yes,northeast,no,593.54
12,31.0,cauc,yes,northeast,no,280.15
12,44.0,cauc,yes,northeast,no,973.41
12,0.0,cauc,yes,northeast,yes,56.79
17,15.0,cauc,yes,northeast,no,1127.73
12,17.0,cauc,yes,northeast,no,1163.34
16,18.0,cauc,yes,northeast,no,735.99
15,-1.0,cauc,yes,northeast,yes,105.76
12,3.0,cauc,no,northeast,no,332.38
10,43.0,cauc,no,northeast,no,556.77
9,11.0,cauc,no,northeast,no,259.26
10,8.0,cauc,yes,northeast,no,274.35
10,41.0,cauc,yes,northeast,no,296.3
12,12.0,cauc,no,northeast,no,641.03
16,16.0,cauc,no,northeast,no,712.25
8,45.0,cauc,no,northeast,no,407.31
10,25.0,cauc,no,northeast,no,222.22
8,38.0,cauc,no,northeast,no,130.58
8,46.0,cauc,no,northeast,no,284.9
12,23.0,cauc,no,northeast,no,399.42
12,3.0,cauc,no,northeast,no,315.74
12,12.0,cauc,no,northeast,no,688.51
16,9.0,cauc,no,northeast,no,379.87
16,-1.0,cauc,no,northeast,no,580.97
18,41.0,cauc,no,northeast,no,419.75
12,12.0,cauc,no,northeast,no,427.35
12,12.0,cauc,no,northeast,no,712.25
16,20.0,cauc,no,northeast,no,448.72
14,13.0,cauc,no,northeast,no,997.15
12,43.0,cauc,no,northeast,yes,126.62
16,16.0,cauc,no,northeast,no,874.49
10,17.0,cauc,no,northeast,no,686.73
9,8.0,cauc,no,northeast,no,166.19
14,16.0,cauc,yes,northeast,no,1234.57
12,15.0,cauc,yes,northeast,no,451.09
12,16.0,cauc,no,northeast,no,493.83
12,8.0,cauc,no,northeast,no,401.23
14,24.0,cauc,no,northeast,no,500.95
12,12.0,cauc,no,northeast,no,617.28
12,2.0,cauc,no,northeast,no,293.21
18,27.0,cauc,yes,northeast,no,3600.82
16,4.0,cauc,yes,northeast,no,474.83
15,4.0,cauc,yes,northeast,yes,189.93
12,4.0,cauc,yes,northeast,no,471.79
16,30.0,cauc,yes,northeast,no,1816.24
13,32.0,cauc,yes,northeast,no,1448.24
12,1.0,cauc,yes,northeast,no,356.13
12,4.0,cauc,yes,northeast,no,474.83
6,33.0,cauc,no,northeast,no,925.93
18,32.0,cauc,no,northeast,no,522.32
12,26.0,cauc,yes,northeast,no,517.19
9,16.0,cauc,yes,northeast,no,712.25
12,21.0,cauc,yes,northeast,no,776.64
12,13.0,cauc,yes,northeast,no,854.7
12,14.0,cauc,yes,northeast,no,584.05
12,34.0,cauc,yes,northeast,no,657.64
12,0.0,cauc,yes,northeast,no,174.85
17,3.0,cauc,no,northeast,no,819.09
12,15.0,cauc,no,northeast,no,522.32
12,17.0,cauc,yes,northeast,no,811.32
17,2.0,cauc,yes,northeast,no,427.35
17,14.0,cauc,yes,northeast,no,783.48
15,19.0,cauc,no,northeast,no,451.09
12,47.0,cauc,yes,northeast,yes,125.9
12,26.0,cauc,yes,northeast,no,1044.63
18,13.0,cauc,yes,northeast,no,1139.6
12,0.0,cauc,yes,northeast,no,206.55
18,26.0,cauc,yes,northeast,no,1115.86
16,10.0,cauc,yes,northeast,no,458.55
13,17.0,cauc,yes,northeast,no,628.82
12,22.0,cauc,yes,northeast,no,524.69
12,24.0,cauc,no,northeast,no,707.5
12,14.0,cauc,no,northeast,no,474.83
16,16.0,cauc,no,northeast,no,830.96
16,3.0,cauc,no,northeast,no,688.51
12,16.0,cauc,yes,northeast,no,352.73
10,47.0,cauc,yes,northeast,yes,113.98
14,27.0,cauc,yes,northeast,no,783.48
12,4.0,cauc,no,northeast,no,854.7
10,37.0,cauc,no,northeast,no,498.58
16,22.0,cauc,no,northeast,no,1270.18
18,21.0,cauc,no,northeast,no,745.01
15,-1.0,cauc,no,northeast,no,627.57
13,-1.0,cauc,no,northeast,yes,186.42
12,13.0,cauc,no,northeast,no,356.13
18,11.0,cauc,no,northeast,no,314.69
8,47.0,cauc,no,northeast,no,385.3
11,17.0,cauc,no,northeast,no,166.19
16,15.0,cauc,no,northeast,no,641.03
14,8.0,cauc,no,northeast,no,436.59
12,48.0,cauc,yes,northeast,no,222.22
12,31.0,cauc,yes,northeast,no,997.15
11,14.0,cauc,yes,northeast,no,474.83
12,17.0,cauc,no,northeast,no,451.09
12,9.0,cauc,no,northeast,no,712.25
13,15.0,cauc,no,northeast,no,366.74
14,19.0,cauc,no,northeast,no,336.7
12,48.0,cauc,no,northeast,no,213.58
12,6.0,cauc,no,northeast,no,394.11
13,13.0,cauc,yes,northeast,no,712.25
12,17.0,cauc,no,northeast,no,902.18
14,36.0,cauc,no,northeast,no,1358.02
12,4.0,cauc,yes,northeast,no,461.49
12,40.0,cauc,no,northeast,no,636.02
15,19.0,cauc,yes,northeast,no,510.45
14,5.0,cauc,yes,northeast,no,510.45
14,19.0,cauc,no,northeast,no,276.95
12,22.0,cauc,yes,northeast,no,666.67
16,18.0,cauc,no,northeast,no,712.25
18,15.0,cauc,no,northeast,no,766.86
12,10.0,cauc,no,northeast,no,474.83
12,27.0,cauc,no,northeast,no,427.35
9,38.0,cauc,no,northeast,no,410.49
8,32.0,cauc,no,northeast,no,493.83
18,27.0,cauc,no,northeast,no,942.55
13,0.0,cauc,no,northeast,yes,87.84
16,14.0,cauc,no,northeast,no,522.32
12,10.0,cauc,no,northeast,no,522.32
12,2.0,cauc,no,northeast,no,338.9
16,29.0,cauc,no,northeast,no,1899.34
13,0.0,cauc,no,northeast,yes,123.46
16,11.0,cauc,yes,northeast,no,997.63
12,17.0,cauc,yes,northeast,no,617.28
12,41.0,cauc,yes,northeast,no,925.93
12,40.0,cauc,no,northeast,no,854.7
16,-1.0,cauc,no,northeast,no,617.28
12,17.0,cauc,no,northeast,no,754.99
18,19.0,cauc,yes,northeast,no,427.35
18,12.0,cauc,yes,northeast,no,497.01
12,17.0,cauc,no,northeast,no,439.22
12,28.0,cauc,no,northeast,no,1305.79
12,9.0,cauc,yes,northeast,no,593.54
16,8.0,cauc,yes,northeast,no,394.11
13,21.0,cauc,no,northeast,no,365.73
18,19.0,cauc,no,northeast,no,724.51
8,33.0,cauc,no,northeast,no,496.01
12,43.0,cauc,no,northeast,no,90.22
14,25.0,cauc,no,northeast,no,441.36
12,22.0,cauc,no,northeast,no,973.41
14,10.0,cauc,no,northeast,no,712.25
13,18.0,cauc,no,northeast,no,182.5
17,15.0,cauc,no,northeast,no,740.74
12,19.0,cauc,no,northeast,no,411.7
16,3.0,cauc,no,northeast,no,178.06
16,3.0,cauc,no,northeast,no,107.19
12,34.0,cauc,no,northeast,no,498.58
